date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:07	317439/317439	---MC-	200	added ('OK')	image/png	etag:%22ff2390381c1a0d96a0f7c3840774c2cb%22	https://framerusercontent.com/images/qqgMFFhBjbmzllL7E6Dml51Gw.png?width=1024&height=1024	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/qqgMFFhBjbmzllL7E6Dml51Gw90ee.png	(from https://declann.framer.website/)
12:41:11	152233/152233	---MC-	200	added ('OK')	image/jpeg	etag:%22c16209975474e0765fdb04efd4f37299%22	https://framerusercontent.com/images/JCrdjTQkBQrBm7Te6KMsT3xpGs.jpg?width=720&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/JCrdjTQkBQrBm7Te6KMsT3xpGse316.jpg	(from https://declann.framer.website/)
12:41:11	102341/102341	---MC-	200	added ('OK')	image/jpeg	etag:%22416f5e22ab42d680cc577312e33d6155%22	https://framerusercontent.com/images/WNmIDvpcKTAnhRuEQraYm8sxjC8.jpg?width=720&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/WNmIDvpcKTAnhRuEQraYm8sxjC8e316.jpg	(from https://declann.framer.website/)
12:41:14	231509/231509	---MC-	200	added ('OK')	image/png	etag:%22b5f60ea18737fcbccb0cfa2d1d6b549c%22	https://framerusercontent.com/images/vhHIJv4PmmgQ1TXOzia8Qs7b5g.png?width=896&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/vhHIJv4PmmgQ1TXOzia8Qs7b5g1c66.png	(from https://declann.framer.website/)
12:41:14	204948/204948	---MC-	200	added ('OK')	image/jpeg	etag:%223ad11d0460ff22cef394f0ae9acaba23%22	https://framerusercontent.com/images/O8SdC4cqxa7Z7SerCDbrP65MuA.jpg?width=960&height=1280	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/O8SdC4cqxa7Z7SerCDbrP65MuAb077.jpg	(from https://declann.framer.website/)
12:41:17	673076/673076	---MC-	200	added ('OK')	image/png	etag:%22672e03a87293fe945b33988e1d6be1b6%22	https://framerusercontent.com/images/iqpXkwXq6BDwBwLbJEhx67qMb6Q.png?width=1293&height=1995	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/iqpXkwXq6BDwBwLbJEhx67qMb6Q553c.png	(from https://declann.framer.website/)
12:41:17	56414/56414	---MC-	200	added ('OK')	image/png	etag:%22cc6d72f54dfb6e045d815f2083fee32c%22	https://framerusercontent.com/images/jiwEpXZJ2HrC1w6aex0SJYM0Kqw.png?width=1920&height=1080	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/jiwEpXZJ2HrC1w6aex0SJYM0Kqw88ac.png	(from https://declann.framer.website/)
12:41:18	46715/46715	---MC-	200	added ('OK')	image/png	etag:%226f4ab5e0923fea4bdebdb2fb46746a8e%22	https://framerusercontent.com/images/Y5AFvfgojGp5o71GfsmYLTaUZE.png?width=600&height=1080	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/Y5AFvfgojGp5o71GfsmYLTaUZEca24.png	(from https://declann.framer.website/)
12:41:20	48481/48481	---MC-	200	added ('OK')	image/png	etag:%2205d593763212d558f72d3ea5af0cc791%22	https://framerusercontent.com/images/MLrcLxGgycm0moyG1Xii1V60g.png?width=747&height=1080	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/MLrcLxGgycm0moyG1Xii1V60gf0e3.png	(from https://declann.framer.website/)
12:41:27	298780/298780	---MC-	200	added ('OK')	image/png	etag:%227f622ad3095537912b53db0873a890b6%22	https://framerusercontent.com/images/x9owFBtiChqV1cmSdZ4fDb76A.png	C:/Users/user/Desktop/C%20Web/declan/framerusercontent.com/images/x9owFBtiChqV1cmSdZ4fDb76A.png	(from https://declann.framer.website/contact)
